name,parent_name,common_point_x,common_point_y,common_point_z,common_point_parent_x,common_point_parent_y,common_point_parent_z,notes,tx,ty,tz,rotation,scale,reg_metric
S-20-28_heart_VOI-01_6.51um_bm18,S-20-28_heart_complete-organ_19.85um_bm18,,,,,,,,,,,,,
S-20-28_heart_VOI-02_6.51um_bm18,S-20-28_heart_complete-organ_19.85um_bm18,,,,,,,,,,,,,
S-20-28_heart_VOI-03_6.51um_bm18,S-20-28_heart_complete-organ_19.85um_bm18,,,,,,,,,,,,,
S-20-28_heart_VOI-04_6.51um_bm18,S-20-28_heart_complete-organ_19.85um_bm18,,,,,,,,,,,,,
S-20-28_heart_VOI-05_6.51um_bm18,S-20-28_heart_complete-organ_19.85um_bm18,,,,,,,,,,,,,
S-20-28_heart_VOI-06_6.51um_bm18,S-20-28_heart_complete-organ_19.85um_bm18,,,,,,,,,,,,,
S-20-28_heart_VOI-07_6.51um_bm18,S-20-28_heart_complete-organ_19.85um_bm18,,,,,,,,,,,,,
S-20-28_heart_VOI-08_6.51um_bm18,S-20-28_heart_complete-organ_19.85um_bm18,,,,,,,,,,,,,
S-20-29_brain_VOI-01_2.5um_bm05,S-20-29_brain_complete-organ_25.33um_bm05,3036.0,908.0,3990.0,2038.0,3364.0,2592.0,,1744.4034655400708,3272.277895330688,2200.180547565257,-0.6997428937485647,0.0986976043469072,-0.11166930613932331
S-20-29_brain_VOI-01_6.5um_bm05,S-20-29_brain_complete-organ_25.33um_bm05,2976.0,1976.0,861.0,2209.0,3477.0,1957.0,VOI and full organ scans don't seem to match exactly - VOI possibly tilted relative to full-organ scan,,,,,,
S-20-29_brain_VOI-01b_6.5um_bm05,S-20-29_brain_complete-organ_25.33um_bm05,931.0,2499.0,277.0,1687.0,3622.0,2877.0,,1473.595338217164,2970.15648566061,2805.0407292751106,-2.399871278515421,0.25661233832304353,-0.2552563371099799
S-20-29_brain_VOI-02_2.5um_bm05,S-20-29_brain_complete-organ_25.33um_bm05,2603.0,2147.0,4686.0,3571.0,3533.0,2006.0,,3308.462366746551,3330.9951012142237,1542.5158140031779,2.0002958959476986,0.09869755068405994,-0.2538092082122006
S-20-29_brain_VOI-02_6.5um_bm05,S-20-29_brain_complete-organ_25.33um_bm05,1784.0,3436.0,4172.0,3720.0,4098.0,2418.0,,3215.150939508685,3244.162418490507,1345.8577295271327,3.2003774575742043,0.25661287762314305,-0.47456176106738773
S-20-29_brain_VOI-03_2.5um_bm05,S-20-29_brain_complete-organ_25.33um_bm05,2174.0,943.0,6127.0,3787.0,4044.0,3620.0,,3570.2786430390975,3961.8409997810886,3015.895157126412,3.500259642669947,0.09869726378678606,-0.21327116258679288
S-20-29_brain_VOI-03_6.5um_bm05,S-20-29_brain_complete-organ_25.33um_bm05,1916.0,1764.0,866.0,4031.0,3752.0,2979.0,,3514.3777201634985,3327.3092899400235,2756.998700974502,3.1000748907088616,0.25661304347270897,-0.8888879049051965
S-20-29_brain_VOI-04_2.5um_bm05,S-20-29_brain_complete-organ_25.33um_bm05,2016.0,2736.0,2660.0,2715.0,1627.0,3992.0,,2511.8970248761457,1363.047009222663,3727.7148269218624,1.3003708172712432,0.09869736756679547,-0.23907839910270415
S-20-29_brain_VOI-04_6.5um_bm05,S-20-29_brain_complete-organ_25.33um_bm05,2258.0,2938.0,1408.0,2683.0,1927.0,3998.0,,2073.7968877910994,1199.0645709601504,3634.531617081634,2.2999922081778137,0.25661304570802024,-0.6204068274612179
S-20-29_brain_VOI-05_2.5um_bm05,S-20-29_brain_complete-organ_25.33um_bm05,1122.0,2068.0,1764.0,2416.0,4517.0,4532.0,,2299.923381382527,4319.065590687604,4356.048334794111,2.200106098825127,0.09869742825015558,-0.11885807896096792
S-20-29_brain_VOI-05_6.5um_bm05,S-20-29_brain_complete-organ_25.33um_bm05,1548.0,486.0,410.0,2644.0,3853.0,4280.0,,2246.8169588007117,3729.342032767995,4174.079481003277,-1.4268498315844556e-05,0.25661326151056923,-0.461707628852353
S-20-29_heart_ROI-03_6.5um_bm05,S-20-29_heart_complete-organ_25.25um_bm05,2611.0,834.0,444.0,3166.0,2953.0,2533.0,,2491.2472600315455,2746.6874621771053,2419.0874507437347,0.6999498772557038,0.2574259649269008,-0.46759737559618697
S-20-29_heart_VOI-01_2.5um_bm05,S-20-29_heart_complete-organ_25.25um_bm05,824.0,2008.0,2446.0,1587.0,3136.0,1754.0,,1427.0265785323732,3299.006431377661,1533.2031924552675,113.29281405737082,0.09900593057010013,-0.048002264520148816
S-20-29_heart_VOI-02_2.5um_bm05,S-20-29_heart_complete-organ_25.25um_bm05,1621.0,2051.0,1365.0,3062.0,3203.0,2505.0,VOI and full organ scans don't seem to match exactly - VOI possibly tilted relative to full-organ scan,,,,,,
S-20-29_heart_VOI-04_6.5um_bm05,S-20-29_heart_complete-organ_25.25um_bm05,2569.0,2114.0,8295.0,2640.0,3178.0,5084.0,,1970.7683110793766,2643.430003978234,2950.9851314558146,0.8996251811448153,0.2574254418094273,-0.3352392854627673
S-20-29_heart_VOI-05b_6.5um_bm05,S-20-29_heart_complete-organ_25.25um_bm05,2064.0,1455.0,5597.0,2536.0,4323.0,4374.0,,2006.1468759388536,3947.1089568787697,2933.2582295066272,-0.3000274963553672,0.2574260474383923,-0.25824106502872124
S-20-29_kidney_VOI-01_1.4um_bm05,S-20-29_kidney_complete-organ_25.38um_bm05,868.0,527.0,36041.0,480.0,516.0,2611.0,,489.54624300094076,568.0944131981872,640.6147383414886,177.50261493690053,0.055159223169650606,-0.08076735074288223
S-20-29_kidney_VOI-01_6.5um_bm05,S-20-29_kidney_complete-organ_25.38um_bm05,2266.0,2542.0,5168.0,751.0,842.0,1680.0,,140.46230360139978,218.81110115358288,355.41619011588875,2.8001230588186976,0.2561073033152994,-0.1949563621821328
S-20-29_kidney_VOI-02_6.5um_bm05,S-20-29_kidney_complete-organ_25.38um_bm05,1604.0,1796.0,2296.0,991.0,603.0,668.0,,584.3303504438443,139.18072087789545,78.66157628035778,-0.49971505234041846,0.2561070329218048,-0.2033048675698666
S-20-29_kidney_VOI-03_6.5um_bm05,S-20-29_kidney_complete-organ_25.38um_bm05,2012.0,2514.0,2006.0,1094.0,2227.0,4299.0,,578.8428153747818,1581.6164567378178,3785.5041242291036,-0.10008510811057066,0.2561071935540037,-0.623038253739488
S-20-29_lung_left_ROI-2.1_2.256um_bm18,S-20-29_lung_left_complete-organ_25.31um_bm05,998.0,3201.0,3459.0,1777.0,2533.0,2122.0,,2077.9048564343148,2575.975449992126,1823.9376237699669,-115.3010413833592,0.08913487510906479,-0.021395701009129825
S-20-29_lung_left_ROI-3.1_2.256um_bm18,S-20-29_lung_left_complete-organ_25.31um_bm05,2495.0,1395.0,8354.0,4067.0,2170.0,1280.0,,3876.0180671951193,2338.065576012598,534.8492865832677,70.700064583849,0.0891347961778209,-0.027908029079181846
S-20-29_lung_left_ROI-5.3_2.256um_bm18,S-20-29_lung_left_complete-organ_25.31um_bm05,1701.0,1522.0,10716.0,1576.0,2113.0,4482.0,,1393.45490372594,2208.008901695619,3525.102382747275,69.19954439148721,0.0891345830920833,-0.05781891271028162
S-20-29_lung_left_VOI-01_6.5um_bm05,S-20-29_lung_left_complete-organ_25.31um_bm05,2276.0,1300.0,8744.0,2813.0,1627.0,2858.0,,2231.694368695998,1295.102234910827,617.7005193816966,-0.0002954648749113865,0.25681663154622064,-0.24751796847234359
S-20-29_lung_left_VOI-02_6.5um_bm05,S-20-29_lung_left_complete-organ_25.31um_bm05,2580.0,2312.0,8794.0,2183.0,2785.0,2870.0,,1576.402344323467,2134.7262847419897,609.0718091934594,-5.099741808108452,0.2568151282212436,-0.2093967408818291
S-20-29_lung_left_VOI-04_6.5um_bm05,S-20-29_lung_left_complete-organ_25.31um_bm05,964.0,1480.0,6568.0,3367.0,1548.0,2394.0,,3152.9288389393128,1150.7204260501092,706.6007880085996,-4.699955263625036,0.2568155750985389,-0.45954008501712906
S-20-29_lung_left_VOI-05_6.5um_bm05,S-20-29_lung_left_complete-organ_25.31um_bm05,1684.0,800.0,18566.0,1668.0,1250.0,5560.0,,1257.7257673685622,1005.485226013251,789.8548884643609,-5.299835000447964,0.2568154947103331,-0.3728457801023491
